storename,location,lng,lat,score,special,img_url
晚香亭(环城路店),环城南路与金寨路交叉路口东150米路南(老报馆斜对面),None,None,4.2,"肠粉,虾饺,生蚝,凤爪,榴莲千丝酥,狮子头,叉烧,佛手茄子,港式碳烧肉,扁尖笋老鸭汤,馋嘴牛蛙,西红柿牛腩,酸辣海带,粉蒸排骨,牛肉肠粉,菠萝油条虾,蜜汁叉烧包,冰糖雪梨炖银耳,炭烤猪手,杭椒小炒肉,金牌榴莲酥,生滚海鲜粥,沙拉小牛肉,椰汁青豆泥,清蒸鲈鱼,干锅花菜",https://dimg01.c-ctrip.com/images/100c0j000000afbk3F9D5_R_220_140.jpg
PANKOO釜山料理(银泰店),长江中路98号银泰中心6层,None,None,4.5,"雪花牛舌,秘制梅花肉,石锅芝士年糕,招牌调味五花肉,韩式肥牛石锅拌饭,调味菲力牛排,釜山吾桑格,大酱汤,南瓜粥,菲力牛排",https://dimg04.c-ctrip.com/images/tg/969/211/881/0d2b49d3dce444f69082164aefc3145b_R_220_140.jpg
鸟地方烧鸟(梅山路店),长江西路与梅山路交口向南100米路西(梅山路153号),None,None,4.4,"烤香菇,鸡胗,雪花牛舌,一夜干,西葫芦明太子,京葱烤鸡胸肉,京葱鸡胸肉,烤秋刀鱼(带内脏),芦笋五花肉,鸡皮,骨付香肠,鹅肝寿司,烤秋葵,厚切牛舌,芦笋,明太子鸡翅,厚牛舌,烤猪大肠,烧鸟饭,鸡脆骨,三文鱼刺身,盐烤鲑鱼头",https://dimg02.c-ctrip.com/images/100h0j000000ae4wcBB0E_R_220_140.jpg
春树下花园餐厅(中隐于市店),南一环曙光路中隐于市东西巷1号(梦工厂对面),None,None,4.5,"意大利面,寿司,烤香肠,樱花芝士寿司,好贵的海鲜面疙瘩,杏仁热红酒,粗壮的薯条,芝士炬蘑菇,牛肉披萨,培根寿司,土豆泥,芝士焗扇贝,莫吉托,萨拉米披萨,德国咸猪手,墨西哥披萨,北极贝寿司,黄金鸡翅,热红酒,西红柿面疙瘩,秘制黑椒鸡块,牛肉炒饭",https://dimg01.c-ctrip.com/images/10030j000000ag4imD988_R_220_140.jpg
新加坡泰国村酒楼(望江西路店),高新区科学大道—望江西路520号皖通大厦裙楼(近科学大道),None,None,4.4,"萝卜糕,泰式炒饭,菠萝包,咖喱炒大虾,紫金蒸凤爪,黑胡椒炒蟹,三丝炸春卷,泰式榴莲酥,早午茶,冰雕刺生拼盘,冬粉海鲜汇,泰村至尊虾饺皇,金银蒜香蒸排骨,新派马拉糕,泰村脆皮鸡,招牌黑金包,蒸排骨,皮蛋瘦肉粥,小米南瓜粥,虾饺皇,叉烧酥,星洲炒米粉,蒸凤爪,椰汁红豆糕,泰式咖喱牛腩",https://dimg02.c-ctrip.com/images/100s0j000000ahnb426A2_R_220_140.jpg
樱之海 精品日本料理(1912店),合肥市蜀山区黄山路大溪地国际商业广场2楼(岳西路),None,None,4.4,"关东煮,鹅肝,地狱拉面,杂锦天妇罗,迷你鹅肝寿司,铁板煎豆腐,蒜香牛舌,铁板蜜汁香蕉,鳗鱼泡菜炒饭,樱花卷,烤年糕,金针菇牛肉卷,甜虾刺身,三文鱼厚切,香煎牛舌,牡丹虾,牛油果炸虾卷,鳗鱼加州卷,鳗鱼鸡蛋卷,三文鱼薄切,泡菜海鲜锅,特级鳗鱼蒲烧,刺身拼盘",https://dimg01.c-ctrip.com/images/10070j000000acxk1F7A6_R_220_140.jpg
0048香辣虾(三里庵店),长江西路路三里庵国购广场斜对面旺城大厦3楼,None,None,4.3,"香辣蟹,年糕,红薯,香辣虾小龙虾,锅巴,鸭血,豆腐皮,撒尿牛丸,金针菇,娃娃菜,丸类组合,干锅虾,蔬菜组合,香辣排骨,鱿鱼香辣虾,香辣鱿鱼虾,海鲜鱿鱼虾,鸡翅香辣虾,香辣肥肠虾,精选羊肉,排骨香辣虾,黄金鸡翅,招牌香辣虾,香辣虾扯蛋,香辣虾一绝,海南基围虾,极品小羔羊,精品肥牛,油条,生菜,黄豆芽,土豆紫薯丸子",https://dimg02.c-ctrip.com/images/tg/740/503/714/51e9271b83d441c99ccf95a7892bca50_R_220_140.jpg
碧特博格西餐啤酒花园(芜湖路店),芜湖路与金寨路交口向东100米路北(徽商集团),None,None,4.5,"德国猪肘,披萨,冰鲜谷饲菲力牛排配澳带,火爆辣鸡香蒜披萨,卤肉饭,提拉米苏,招牌重芝士蛋糕,碧特博格,德国纯真啤酒,当然是啤酒喽~,岩板安格斯小牛排,岩板神户牛排,精致菲力牛排,猪蹄,薄饼披萨,牛肉饼,黑啤,牛肉肠,德国烤猪肘,墨西哥牛肉饼,德克萨斯汉堡,焗意面,火焰薄饼,啤酒,鸡翅",https://dimg07.c-ctrip.com/images/100o0j000000acxuuA8B8_R_220_140.jpg
丰茂烤串,含山路与中菜市路交叉口银泰中心后门(新时代广场E座),None,None,4.4,"朝鲜冷面,带蒜头的肉串,五花肉串,烤面包,五花肉卷金针菇,鲜羊肉串,阿根廷大虾,掌中宝,牛板筋,鸡翅",https://dimg01.c-ctrip.com/images/100i180000014522l8A9F_R_220_140.jpg
符离集餐厅(万象城店),习友路华润万象城5楼(同庆楼旁),None,None,4.1,"蓝莓山药,铁板土豆片,羊肉汤,芒果油条虾,烙馍,椒麻黑鸡爪,小炒锅巴肉,老妈蒸菜,糊辣子,农家生煎包,辣糊子,符离集小炒,蒜泥炒鸡蛋,香烤小羊腿,百年老煎包,面疙瘩萝卜鱼圆,皖北手抓中大骨,菠萝蜜,桂花雪梨,牛大骨,清蒸秋葵,油条虾,符离集烧鸡,小鸡贴馍,红油羊肚丝,蒜蓉跳跳虾,猪耳朵,地皮菜炒鹅蛋,符离集烧鸡热",https://dimg02.c-ctrip.com/images/10061800000146uv3AA13_R_220_140.jpg
